diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers
3,0.5353 liter / second,2 inch,9.0,4 inch,30 millimeter,0.5181 inch,171 dimensionless
4,0.8849 liter / second,3 inch,5.0,4 inch,40 millimeter,0.5575 inch,159 dimensionless
5,1.287 liter / second,3 inch,4.0,4 inch,50 millimeter,0.5969 inch,148 dimensionless
6,1.741 liter / second,4 inch,3.0,4 inch,60 millimeter,0.6362 inch,139 dimensionless
7,2.233 liter / second,4 inch,2.0,4 inch,70 millimeter,0.6756 inch,131 dimensionless
8,2.76 liter / second,6 inch,1.0,4 inch,80 millimeter,0.715 inch,124 dimensionless
9,3.325 liter / second,6 inch,1.0,4 inch,90 millimeter,0.7543 inch,118 dimensionless
10,3.896 liter / second,6 inch,1.0,4 inch,100 millimeter,0.7937 inch,112 dimensionless
11,4.503 liter / second,6 inch,1.0,4 inch,110 millimeter,0.8331 inch,107 dimensionless
12,5.109 liter / second,6 inch,1.0,4 inch,120 millimeter,0.8724 inch,102 dimensionless
13,5.761 liter / second,8 inch,0.0,4 inch,130 millimeter,0.9118 inch,98 dimensionless
14,6.408 liter / second,8 inch,0.0,4 inch,140 millimeter,0.9512 inch,94 dimensionless
15,7.044 liter / second,8 inch,0.0,4 inch,150 millimeter,0.9906 inch,90 dimensionless
16,7.658 liter / second,8 inch,0.0,4 inch,160 millimeter,1.03 inch,86 dimensionless
17,8.343 liter / second,8 inch,0.0,4 inch,170 millimeter,1.069 inch,83 dimensionless
18,9.016 liter / second,8 inch,0.0,4 inch,180 millimeter,1.109 inch,80 dimensionless
19,9.794 liter / second,10 inch,0.0,4 inch,190 millimeter,1.148 inch,78 dimensionless
20,10.43 liter / second,10 inch,0.0,4 inch,200 millimeter,1.187 inch,75 dimensionless
21,11.2 liter / second,10 inch,0.0,4 inch,210 millimeter,1.227 inch,73 dimensionless
22,11.95 liter / second,10 inch,0.0,4 inch,220 millimeter,1.266 inch,71 dimensionless
23,12.51 liter / second,10 inch,0.0,4 inch,230 millimeter,1.306 inch,68 dimensionless
24,13.22 liter / second,10 inch,0.0,4 inch,240 millimeter,1.345 inch,66 dimensionless
25,14.13 liter / second,10 inch,0.0,4 inch,250 millimeter,1.384 inch,65 dimensionless
26,14.81 liter / second,12 inch,0.0,4 inch,260 millimeter,1.424 inch,63 dimensionless
27,15.47 liter / second,12 inch,0.0,4 inch,270 millimeter,1.463 inch,61 dimensionless
28,16.36 liter / second,12 inch,0.0,4 inch,280 millimeter,1.502 inch,60 dimensionless
29,16.97 liter / second,12 inch,0.0,4 inch,290 millimeter,1.542 inch,58 dimensionless
30,17.84 liter / second,12 inch,0.0,4 inch,300 millimeter,1.581 inch,57 dimensionless
31,18.38 liter / second,12 inch,0.0,4 inch,310 millimeter,1.62 inch,55 dimensionless
32,19.23 liter / second,12 inch,0.0,4 inch,320 millimeter,1.66 inch,54 dimensionless
33,20.08 liter / second,12 inch,0.0,4 inch,330 millimeter,1.699 inch,53 dimensionless
34,20.91 liter / second,16 inch,0.0,4 inch,340 millimeter,1.739 inch,52 dimensionless
35,21.3 liter / second,16 inch,0.0,4 inch,350 millimeter,1.778 inch,50 dimensionless
36,22.09 liter / second,16 inch,0.0,4 inch,360 millimeter,1.817 inch,49 dimensionless
37,22.86 liter / second,16 inch,0.0,4 inch,370 millimeter,1.857 inch,48 dimensionless
38,23.61 liter / second,16 inch,0.0,4 inch,380 millimeter,1.896 inch,47 dimensionless
39,24.34 liter / second,16 inch,0.0,4 inch,390 millimeter,1.935 inch,46 dimensionless
40,25.6 liter / second,16 inch,0.0,4 inch,400 millimeter,1.975 inch,46 dimensionless
41,26.31 liter / second,16 inch,0.0,4 inch,410 millimeter,2.014 inch,45 dimensionless
42,27 liter / second,16 inch,0.0,4 inch,420 millimeter,2.054 inch,44 dimensionless
43,27.65 liter / second,16 inch,0.0,4 inch,430 millimeter,2.093 inch,43 dimensionless
44,28.28 liter / second,16 inch,0.0,4 inch,440 millimeter,2.132 inch,42 dimensionless
45,29.58 liter / second,16 inch,0.0,4 inch,450 millimeter,2.172 inch,42 dimensionless
46,30.18 liter / second,16 inch,0.0,4 inch,460 millimeter,2.211 inch,41 dimensionless
47,30.73 liter / second,16 inch,0.0,4 inch,470 millimeter,2.25 inch,40 dimensionless
48,31.25 liter / second,16 inch,0.0,4 inch,480 millimeter,2.29 inch,39 dimensionless
49,32.57 liter / second,18 inch,0.0,4 inch,490 millimeter,2.329 inch,39 dimensionless
50,33.04 liter / second,18 inch,0.0,4 inch,500 millimeter,2.369 inch,38 dimensionless
51,34.38 liter / second,18 inch,0.0,4 inch,510 millimeter,2.408 inch,38 dimensionless
52,34.8 liter / second,18 inch,0.0,4 inch,520 millimeter,2.447 inch,37 dimensionless
53,35.17 liter / second,18 inch,0.0,4 inch,530 millimeter,2.487 inch,36 dimensionless
54,36.51 liter / second,18 inch,0.0,3.74 inch,540 millimeter,2.5 inch,36 dimensionless
55,37.88 liter / second,18 inch,0.0,3.346 inch,550 millimeter,2.5 inch,36 dimensionless
56,39.27 liter / second,18 inch,0.0,2.953 inch,560 millimeter,2.5 inch,36 dimensionless
57,40.68 liter / second,18 inch,0.0,2.559 inch,570 millimeter,2.5 inch,36 dimensionless
58,42.12 liter / second,24 inch,0.0,2.165 inch,580 millimeter,2.5 inch,36 dimensionless
59,43.59 liter / second,24 inch,0.0,1.772 inch,590 millimeter,2.5 inch,36 dimensionless
