diffuser diameter (mm), diffuser flow, manifold diameter, number channels, bottom height, slab height, diffuser spacing, number diffusers
3,0.4477 liter / second,2 inch,11.0,5 inch,30 millimeter,0.6181 inch,143 dimensionless
4,0.7513 liter / second,3 inch,6.0,5 inch,40 millimeter,0.6575 inch,135 dimensionless
5,1.104 liter / second,3 inch,4.0,5 inch,50 millimeter,0.6969 inch,127 dimensionless
6,1.515 liter / second,3 inch,3.0,5 inch,60 millimeter,0.7362 inch,121 dimensionless
7,1.943 liter / second,4 inch,2.0,5 inch,70 millimeter,0.7756 inch,114 dimensionless
8,2.426 liter / second,4 inch,2.0,5 inch,80 millimeter,0.815 inch,109 dimensionless
9,2.93 liter / second,6 inch,1.0,5 inch,90 millimeter,0.8543 inch,104 dimensionless
10,3.444 liter / second,6 inch,1.0,5 inch,100 millimeter,0.8937 inch,99 dimensionless
11,3.998 liter / second,6 inch,1.0,5 inch,110 millimeter,0.9331 inch,95 dimensionless
12,4.558 liter / second,6 inch,1.0,5 inch,120 millimeter,0.9724 inch,91 dimensionless
13,5.173 liter / second,6 inch,1.0,5 inch,130 millimeter,1.012 inch,88 dimensionless
14,5.795 liter / second,8 inch,0.0,5 inch,140 millimeter,1.051 inch,85 dimensionless
15,6.417 liter / second,8 inch,0.0,5 inch,150 millimeter,1.091 inch,82 dimensionless
16,7.034 liter / second,8 inch,0.0,5 inch,160 millimeter,1.13 inch,79 dimensionless
17,7.64 liter / second,8 inch,0.0,5 inch,170 millimeter,1.169 inch,76 dimensionless
18,8.34 liter / second,8 inch,0.0,5 inch,180 millimeter,1.209 inch,74 dimensionless
19,9.041 liter / second,8 inch,0.0,5 inch,190 millimeter,1.248 inch,72 dimensionless
20,9.6 liter / second,10 inch,0.0,5 inch,200 millimeter,1.287 inch,69 dimensionless
21,10.28 liter / second,10 inch,0.0,5 inch,210 millimeter,1.327 inch,67 dimensionless
22,10.94 liter / second,10 inch,0.0,5 inch,220 millimeter,1.366 inch,65 dimensionless
23,11.78 liter / second,10 inch,0.0,5 inch,230 millimeter,1.406 inch,64 dimensionless
24,12.42 liter / second,10 inch,0.0,5 inch,240 millimeter,1.445 inch,62 dimensionless
25,13.04 liter / second,10 inch,0.0,5 inch,250 millimeter,1.484 inch,60 dimensionless
26,13.87 liter / second,10 inch,0.0,5 inch,260 millimeter,1.524 inch,59 dimensionless
27,14.45 liter / second,10 inch,0.0,5 inch,270 millimeter,1.563 inch,57 dimensionless
28,15.27 liter / second,12 inch,0.0,5 inch,280 millimeter,1.602 inch,56 dimensionless
29,16.09 liter / second,12 inch,0.0,5 inch,290 millimeter,1.642 inch,55 dimensionless
30,16.59 liter / second,12 inch,0.0,5 inch,300 millimeter,1.681 inch,53 dimensionless
31,17.38 liter / second,12 inch,0.0,5 inch,310 millimeter,1.72 inch,52 dimensionless
32,18.16 liter / second,12 inch,0.0,5 inch,320 millimeter,1.76 inch,51 dimensionless
33,18.94 liter / second,12 inch,0.0,5 inch,330 millimeter,1.799 inch,50 dimensionless
34,19.7 liter / second,12 inch,0.0,5 inch,340 millimeter,1.839 inch,49 dimensionless
35,20.45 liter / second,12 inch,0.0,5 inch,350 millimeter,1.878 inch,48 dimensionless
36,21.19 liter / second,16 inch,0.0,5 inch,360 millimeter,1.917 inch,47 dimensionless
37,21.9 liter / second,16 inch,0.0,5 inch,370 millimeter,1.957 inch,46 dimensionless
38,22.6 liter / second,16 inch,0.0,5 inch,380 millimeter,1.996 inch,45 dimensionless
39,23.28 liter / second,16 inch,0.0,5 inch,390 millimeter,2.035 inch,44 dimensionless
40,23.93 liter / second,16 inch,0.0,5 inch,400 millimeter,2.075 inch,43 dimensionless
41,25.14 liter / second,16 inch,0.0,5 inch,410 millimeter,2.114 inch,43 dimensionless
42,25.77 liter / second,16 inch,0.0,5 inch,420 millimeter,2.154 inch,42 dimensionless
43,26.37 liter / second,16 inch,0.0,5 inch,430 millimeter,2.193 inch,41 dimensionless
44,26.94 liter / second,16 inch,0.0,5 inch,440 millimeter,2.232 inch,40 dimensionless
45,28.17 liter / second,16 inch,0.0,5 inch,450 millimeter,2.272 inch,40 dimensionless
46,28.7 liter / second,16 inch,0.0,5 inch,460 millimeter,2.311 inch,39 dimensionless
47,29.2 liter / second,16 inch,0.0,5 inch,470 millimeter,2.35 inch,38 dimensionless
48,30.45 liter / second,16 inch,0.0,5 inch,480 millimeter,2.39 inch,38 dimensionless
49,30.9 liter / second,16 inch,0.0,5 inch,490 millimeter,2.429 inch,37 dimensionless
50,32.17 liter / second,16 inch,0.0,5 inch,500 millimeter,2.469 inch,37 dimensionless
51,32.57 liter / second,18 inch,0.0,5 inch,510 millimeter,2.508 inch,36 dimensionless
52,33.86 liter / second,18 inch,0.0,5 inch,520 millimeter,2.547 inch,36 dimensionless
53,34.2 liter / second,18 inch,0.0,5 inch,530 millimeter,2.587 inch,35 dimensionless
54,35.5 liter / second,18 inch,0.0,5 inch,540 millimeter,2.626 inch,35 dimensionless
55,35.77 liter / second,18 inch,0.0,5 inch,550 millimeter,2.665 inch,34 dimensionless
56,37.09 liter / second,18 inch,0.0,5 inch,560 millimeter,2.705 inch,34 dimensionless
57,37.29 liter / second,18 inch,0.0,5 inch,570 millimeter,2.744 inch,33 dimensionless
58,38.61 liter / second,18 inch,0.0,5 inch,580 millimeter,2.783 inch,33 dimensionless
59,38.75 liter / second,18 inch,0.0,5 inch,590 millimeter,2.823 inch,32 dimensionless
60,40.07 liter / second,18 inch,0.0,5 inch,600 millimeter,2.862 inch,32 dimensionless
61,40.12 liter / second,18 inch,0.0,5 inch,610 millimeter,2.902 inch,31 dimensionless
62,41.45 liter / second,24 inch,0.0,5 inch,620 millimeter,2.941 inch,31 dimensionless
63,42.8 liter / second,24 inch,0.0,5 inch,630 millimeter,2.98 inch,31 dimensionless
64,42.74 liter / second,24 inch,0.0,4.803 inch,640 millimeter,3 inch,30 dimensionless
65,44.09 liter / second,24 inch,0.0,4.409 inch,650 millimeter,3 inch,30 dimensionless
66,45.45 liter / second,24 inch,0.0,4.016 inch,660 millimeter,3 inch,30 dimensionless
67,46.84 liter / second,24 inch,0.0,3.622 inch,670 millimeter,3 inch,30 dimensionless
68,48.25 liter / second,24 inch,0.0,3.228 inch,680 millimeter,3 inch,30 dimensionless
